Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
Copenhagen,,Denmark,Europe,,,,,1231000,,1106108978,26.56%,,,,,,,,55.75,12.45
Basra,Basra,Iraq,Asia,,,,,1225793,,523847473,12.58%,,,,,,,,30.5,47.8
Mandalay,Mandalay Region,Burma,Asia,,,,,1225546,,150667671,3.62%,,,,,,,,21.95,96.1
Vasai-Virar,Maharashtra,India,Asia,,,,,1222390,,117872422,2.83%,,,,,,,,19.47,72.8
Allahabad,Uttar Pradesh,India,Asia,,,,,1212395,,358312597,8.60%,,,,,,,,25.45,81.85
Baghdad,Baghdad,Iraq,Asia,,,,,1211934,,652874683,15.68%,,,,,,,,33.33333,44.4
Helsinki,,Finland,Europe,,,,,1203000,,1120488632,26.91%,,,,,,,,60.25,25.1
Xining,Qinghai,China,Asia,,,,#DIV/0!,1198304,0,759030660,18.23%,,,,,,,Yes,36.6,101.76
Dhanbad,Jharkhand,India,Asia,,,,,1196214,,292284690,7.02%,,,,,,,,23.8,86.45
Aurangabad,Maharashtra,India,Asia,,,,,1193167,,120225831,2.89%,,,,,,,,19.88,75.32
Balıkesir,,Turkey,Asia,,,,,1189057,,865662240,20.79%,,,,,,,,39.6,27.9
Amritsar,Punjab,India,Asia,,,,,1183549,,604084306,14.51%,,,,,,,,31.64,74.86
Glasgow,,United Kingdom,Europe,,,,,1182000,,1108434513,26.62%,,,,,,,,55.85,-4.3333
Samara,,Russia,,,,,,1164685,,1078358156,25.90%,,,,,,,,53.2,50.1
Naypyidaw (Nay Pyi Taw),Naypyidaw Union Territory,Burma,Asia,,,,,1160242,,119032664,2.86%,,,,,,,,19.75,96.1
Dublin,,Ireland,Europe,,,,,1158000,,1079516156,25.92%,,,,,,,,53.3333,6.33333
Omsk,,Russia,,,,,,1154116,,1089990591,26.17%,,,,,,,,55,73.4
Kazan,,Russia,,,,,,1143535,,1107252513,26.59%,,,,,,,,55.8,49.1
Quetta,Balochistan,Pakistan,Asia,,,,,1140000,,482964829,11.60%,,,,,,,,30.15,67
Jodhpur,Rajasthan,India,Asia,,,,,1138300,,376692169,9.05%,,,,,,,,26.28,73.02
Ulsan,none,South Korea,Asia,,,,,1136948,,706741360,16.97%,,,,,,,,35.55,129.33
Chelyabinsk,,Russia,,,,,,1130132,,1093374477,26.26%,,,,,,,,55.15,61.4
Jerusalem,,Israel,Asia,,,,,1124300,,615032154,14.77%,,,,,,,,31.8,35.2
Raipur,Chhattisgarh,India,Asia,,,,,1123558,,142436025,3.42%,,,,,,,,21.25,81.63
Ranchi,Jharkhand,India,Asia,,,,,1120374,,269387062,6.47%,,,,,,,,23.36,85.33
Gwalior,Madhya Pradesh,India,Asia,,,,,1117740,,375553869,9.02%,,,,,,,,26.22,78.178
Ahvaz,Khuzestan,Iran,Asia,,,,,1112021,,585231438,14.05%,,,,,,,,31.2,48.66666
Kollam,Kerala,India,Asia,,,,,1110668,,15597722,0.37%,,,,,,,,8.88,76.6
Ta'if,,Saudi Arabia,Asia,,,,,1109800,,145465725,3.49%,,,,,,,,21.45,40.3333
Bien Hoa,,Vietnam,Asia,,,,,1104495,,32654053,0.78%,,,,,,,,10.95,106.8
Changwon,South Gyeongsang,South Korea,Asia,,,,,1091733,,704711291,16.92%,,,,,,,,35.25,128.65
Van,,Turkey,Asia,,,,,1089542,,825861438,19.83%,,,,,,,,38.5,43.4
Rostov-on-Don,,Russia,,,,,,1089261,,1002689062,24.08%,,,,,,,,47.25,39.7
Kahramanmaraş,,Turkey,Asia,,,,,1089038,,778392848,18.69%,,,,,,,,37.5,36.9
Qom,Qom,Iran,Asia,,,,,1074036,,692046083,16.62%,,,,,,,,34.6,50.9
Durg-Bhilainagar,Chhattisgarh,India,Asia,,,,,1064222,,141312467,3.39%,,,,,,,,21.21,81.38
Ufa,,Russia,,,,,,1062319,,1088836475,26.15%,,,,,,,,54.75,56
Yerevan,,Armenia,Asia,,,,,1060138,,896161989,21.52%,,,,,,,,40.2,44.5
Chandigarh,Chandigarh,India,Asia,,,,,1055450,,544128716,13.07%,,,,,,,,30.75,76.78
Dushanbe,,Tajikistan,Asia,,,,,1051200,,826912638,19.86%,,,,,,,,38.5,68.75
Haifa,,Israel,Asia,,,,,1050000,,649529911,15.60%,,,,,,,,32.8,35
Aydın,,Turkey,Asia,,,,,1041579,,807057235,19.38%,,,,,,,,37.85,27.85
Ashgabat,,Turkmenistan,Asia,,,,,1031992,,817270448,19.63%,,,,,,,,37.95,58.4
Tiruchirappalli,Tamil Nadu,India,Asia,,,,,1022518,,31549558,0.76%,,,,,,,,10.8,78.7
Volgograd,,Russia,,,,,,1021215,,1011915277,24.30%,,,,,,,,48.7,44.5
Lille,,France,Europe,,,,,1016000,,1030906277,24.76%,,,,,,,,50.6,3.05
Da Nang,,Vietnam,Asia,,,,,1007700,,76345793,1.83%,,,,,,,,16.06,108.25
Kathmandu,Bagmati Zone,Nepal,Asia,,,,,1003285,,391362477,9.40%,,,,,,,,27.7,85.3
Kota,Rajasthan,India,Asia,,,,,1001694,,344107143,8.26%,,,,,,,,25,76.15
Mosul,,Iraq,,,,,,1000000,,741793869,17.81%,,,,,,,,36.34,43.13
Perm,,Russia,,,,,,991162,,1112776066,26.72%,,,,,,,,58,56.3
Antwerpen,,Belgium,Europe,,,,,990000,,1036945277,24.90%,,,,,,,,51.25,4.4
Seongnam,Gyeonggi,South Korea,Asia,,,,,979412,,1120488632,26.91%,,,,,,,,,
Denizli,,Turkey,Asia,,,,,978700,,1122446744,26.95%,,,,,,,,,
Dammam,,Saudi Arabia,Asia,,,,,975800,,1123422544,26.98%,,,,,,,,,
Krasnoyarsk,,Russia,,,,,,973826,,1124396370,27.00%,,,,,,,,,
Nice,,France,Europe,,,,,962000,,967570168,23.24%,,,,,,,,43.75,7.25
Goyang,Gyeonggi,South Korea,Asia,,,,,961451,,1124396370,27.00%,,,,,,,,,
Malaga,,Spain,Europe,,,,,953251,,759983911,18.25%,,,,,,,,36.7,-4.4
Lodz,,Poland,Europe,,,,,939000,,1061384277,25.49%,,,,,,,,51.75,19.4
Kirkuk,Kirkuk,Iraq,,,,,,938336,,706741360,16.97%,,,,,,,,35.45,44.2
Bishkek,,Kyrgyzstan,Asia,,,,,937400,,961877687,23.10%,,,,,,,,42.85,74.6
Yongin,Gyeonggi,South Korea,Asia,,,,,898530,,1125357821,27.02%,,,,,,,,,
Voronezh,,Russia,,,,,,889680,,1127146031,27.07%,,,,,,,,,
Toulouse,,France,Europe,,,,,880000,,966608168,23.21%,,,,,,,,43.6,1.4
Bucheon,Gyeonggi,South Korea,Asia,,,,,872662,,1127146031,27.07%,,,,,,,,,
Liverpool,,United Kingdom,Europe,,,,,864000,,1080380156,25.94%,,,,,,,,53.4,-3
South Hampshire,,United Kingdom,Europe,,,,,856000,,1033851277,24.83%,,,,,,,,50.8,-1.2
Genova,,Italy,Europe,,,,,855000,,977740801,23.48%,,,,,,,,44.4,8.95
Kermanshah,Kermanshah,Iran,Asia,,,,,851405,,1128870098,27.11%,,,,,,,,,
Bordeaux,,France,Europe,,,,,845000,,980445801,23.54%,,,,,,,,44.85,-0.5
Thessaloniki,,Greece,Europe,,,,,840000,,907862785,21.80%,,,,,,,,40.666,22.92
Saratov,,Russia,,,,,,837900,,1129707998,27.13%,,,,,,,,,
Florence,,Italy,Europe,,,,,821000,,971379883,23.33%,,,,,,,,43.8,11.25
Zagreb,,Croatia,Europe,,,,,793000,,989599801,23.76%,,,,,,,,45.8,15.9
Newcastle upon Tyne,,United Kingdom,Europe,,,,,780000,,1090770591,26.19%,,,,,,,,55,-1.5
Gdansk,,Poland,Europe,,,,,775000,,1087774156,26.12%,,,,,,,,54.4,18.6
Hamhung,,North Korea,Asia,,,,,768551,,1130476549,27.15%,,,,,,,,,
Vientiane,,Laos,Asia,,,,,760000,,93197411,2.24%,,,,,,,,17.95,102.6
Krakow,,Poland,Europe,,,,,760000,,1027700277,24.68%,,,,,,,,50.1,19.9
Bilbao,,Spain,Europe,,,,,750000,,962627687,23.12%,,,,,,,,43.25,-3
Riga,,Latvia,Europe,,,,,750000,,1111784904,26.70%,,,,,,,,57,24.1
Najaf,Najaf,Iraq,Asia,,,,,746180,,632978894,15.20%,,,,,,,,32,44.33
Krasnodar,,Russia,,,,,,744995,,1131221544,27.17%,,,,,,,,,
Palermo,,Italy,Europe,,,,,731000,,823481726,19.78%,,,,,,,,38.1,13.25
Nottingham,,United Kingdom,Europe,,,,,730000,,1077193471,25.87%,,,,,,,,52.95,-1.25
Tolyatti,,Russia,,,,,,719632,,1131941176,27.18%,,,,,,,,,
Sharjah,,United Arab Emirates,Asia,,,,,719100,,1132660276,27.20%,,,,,,,,,
Ansan,Gyeonggi,South Korea,Asia,,,,,715313,,1132660276,27.20%,,,,,,,,,
Orumieh,West Azerbaijan,Iran,Asia,,,,,667499,,1134043088,27.23%,,,,,,,,,
Cheongju,North Chungcheong,South Korea,Asia,,,,,662852,,1134043088,27.23%,,,,,,,,,
Biuraidah,,Saudi Arabia,Asia,,,,,658600,,1135364540,27.26%,,,,,,,,,
Homs,,Syria,Asia,,,,,652609,,1136017149,27.28%,,,,,,,,,
Sulaymaniyah,Sulaymaniyah,Iraq,Asia,,,,,651173,,1136668322,27.30%,,,,,,,,,
Macau/Macao,Macao,China,Asia,,310,,0,650900,0,151318571,3.63%,,,,,,,Yes,22.16,113.5
Al Ain,,United Arab Emirates,Asia,,,,,650000,,1137318322,27.31%,,,,,,,,,
Jeonju,North Jeolla,South Korea,Asia,,,,,647504,,1137318322,27.31%,,,,,,,,,
Rasht,Gilan,Iran,Asia,,,,,639951,,1138605777,27.34%,,,,,,,,,
Khobar,,Saudi Arabia,Asia,,,,,626000,,1139231777,27.36%,,,,,,,,,
Al Hudaydah,,Yemen,Asia,,,,,617871,,1139849648,27.37%,,,,,,,,,
Anyang,Gyeonggi,South Korea,Asia,,,,,614170,,1139849648,27.37%,,,,,,,,,
Tabuk,,Saudi Arabia,Asia,,,,,609000,,1141072818,27.40%,,,,,,,,,
Namyangju,Gyeonggi,South Korea,Asia,,,,,580151,,1141072818,27.40%,,,,,,,,,
Cheonan,South Chungcheong,South Korea,Asia,,,,,574148,,1141652969,27.42%,,,,,,,,,
Zahedan,Sistan and Baluchestan,Iran,Asia,,,,,560725,,1142787842,27.44%,,,,,,,,,
Al Hillah,Babil,Iraq,Asia,,,,,559834,,1143347676,27.46%,,,,,,,,,
Lhasa,Tibet,China,Asia,,,,#DIV/0!,559423,0,475233232,11.41%,,,,,,,Yes,29.65,91.15
Amarah,,Iraq,Asia,,,,,541034,,615573188,14.78%,,,,,,,,31.85,47.15
Nasiriyah,,Iraq,Asia,,,,,537544,,584119417,14.03%,,,,,,,,31.05,46.25
Kerman,Kerman,Iran,Asia,,,,,534441,,1143882117,27.47%,,,,,,,,,
Arak,Markazi,Iran,Asia,,,,,526182,,1144408299,27.48%,,,,,,,,,
Hamedan,Hamadan,Iran,Asia,,,,,525794,,1144934093,27.49%,,,,,,,,,
Hwaseong,Gyeonggi,South Korea,Asia,,,,,517505,,1144934093,27.49%,,,,,,,,,
Pohang,North Gyeongsang,South Korea,Asia,,,,,517322,,1145451598,27.51%,,,,,,,,,
Karbala,,Iraq,Asia,,,,,514356,,648479911,15.57%,,,,,,,,32.6,44.06
Gimhae,South Gyeongsang,South Korea,Asia,,,,,507726,,1145968920,27.52%,,,,,,,,,
Kandahar,,Afghanistan,Asia,,,,,491500,,1146968146,27.54%,,,,,,,,,
Bago,Bago Region,Burma,Asia,,,,,491434,,1147459580,27.55%,,,,,,,,,
Kut,,Iraq,Asia,,,,,436673,,644271217,15.47%,,,,,,,,32.5,45.8
Yazd,Yazd,Iran,Asia,,,,,432194,,1147891774,27.57%,,,,,,,,,
Uijeongbu,Gyeonggi,South Korea,Asia,,,,,430198,,1147891774,27.57%,,,,,,,,,
Pyeongtaek,Gyeonggi,South Korea,Asia,,,,,428075,,1148321972,27.58%,,,,,,,,,
Jeju,Jeju,South Korea,Asia,,,,,423853,,1148750047,27.59%,,,,,,,,,
Al Diwaniyah,,Iraq,Asia,,,,,421571,,633400465,15.21%,,,,,,,,32,44.9
Ramadi,,Iraq,Asia,,,,,419053,,653293736,15.69%,,,,,,,,33.4,43.3
Gumi,North Gyeongsang,South Korea,Asia,,,,,413893,,1149173900,27.60%,,,,,,,,,
Siheung,Gyeonggi,South Korea,Asia,,,,,400891,,1149587793,27.61%,,,,,,,,,
Latakia,,Syria,Asia,,,,,383786,,1150372470,27.62%,,,,,,,,,
Paju,Gyeonggi,South Korea,Asia,,,,,382816,,1150372470,27.62%,,,,,,,,,
Taunggyi,Shan State,Burma,Asia,,,,,381639,,1151136925,27.64%,,,,,,,,,
Monywa,Sagaing Region,Burma,Asia,,,,,372095,,1151509020,27.65%,,,,,,,,,
Gwangmyeong,Gyeonggi,South Korea,Asia,,,,,355618,,1151509020,27.65%,,,,,,,,,
Jinju,South Gyeongsang,South Korea,Asia,,,,,336310,,1151864638,27.66%,,,,,,,,,
Wonju,Gangwon,South Korea,Asia,,,,,321146,,1152200948,27.67%,,,,,,,,,
Fallujah,,Iraq,Asia,,,,,321106,,651662749,15.65%,,,,,,,,33.33,43.8
Hama,,Syria,Asia,,,,,312994,,1152835088,27.68%,,,,,,,,,
Meiktila,Mandalay Region,Burma,Asia,,,,,309663,,1153144751,27.69%,,,,,,,,,
Iksan,North Jeolla,South Korea,Asia,,,,,308458,,1153144751,27.69%,,,,,,,,,
Yeosu,South Jeolla,South Korea,Asia,,,,,292627,,1153453209,27.70%,,,,,,,,,
Mawlamyine,Mon State,Burma,Asia,,,,,289388,,1154035224,27.71%,,,,,,,,,
Gunpo,Gyeonggi,South Korea,Asia,,,,,287311,,1154035224,27.71%,,,,,,,,,
Pathein,Ayeyarwady Region,Burma,Asia,,,,,287071,,1154609606,27.73%,,,,,,,,,
Mergui,Tanintharyi Region,Burma,Asia,,,,,284489,,1154894095,27.73%,,,,,,,,,
Gunsan,North Jeolla,South Korea,Asia,,,,,276538,,1154894095,27.73%,,,,,,,,,
Asan,South Chungcheong,South Korea,Asia,,,,,275350,,1155170633,27.74%,,,,,,,,,
Chuncheon,Gangwon,South Korea,Asia,,,,,273130,,1155445983,27.75%,,,,,,,,,
Suncheon,South Jeolla,South Korea,Asia,,,,,272274,,1155719113,27.75%,,,,,,,,,
Yangsan,South Gyeongsang,South Korea,Asia,,,,,267108,,1155991387,27.76%,,,,,,,,,
Gwangju,Gyeonggi,South Korea,Asia,,,,,266444,,1156258495,27.77%,,,,,,,,,
Gyeongju,North Gyeongsang,South Korea,Asia,,,,,265028,,1156524939,27.77%,,,,,,,,,
Gimpo,Gyeonggi,South Korea,Asia,,,,,260997,,1156789967,27.78%,,,,,,,,,
Pyay,Bago Region,Burma,Asia,,,,,251643,,1157302607,27.79%,,,,,,,,,
Mokpo,South Jeolla,South Korea,Asia,,,,,244256,,1157302607,27.79%,,,,,,,,,
Gyeongsan,North Gyeongsang,South Korea,Asia,,,,,243746,,1157546863,27.80%,,,,,,,,,
Geoje,South Gyeongsang,South Korea,Asia,,,,,232891,,1157790609,27.80%,,,,,,,,,
Tripoli,,Lebanon,Asia,,,,,227857,,685826170,16.47%,,,,,,,,34.4,35.9
Gangneung,Gangwon,South Korea,Asia,,,,,217494,,1158023500,27.81%,,,,,,,,,
Chungju,North Chungcheong,South Korea,Asia,,,,,208266,,1158240994,27.81%,,,,,,,,,
Icheon,Gyeonggi,South Korea,Asia,,,,,204331,,1158449260,27.82%,,,,,,,,,
Yangju,Gyeonggi,South Korea,Asia,,,,,199956,,1158653591,27.82%,,,,,,,,,
Osan,Gyeonggi,South Korea,Asia,,,,,194775,,1158853547,27.83%,,,,,,,,,
Guri,Gyeonggi,South Korea,Asia,,,,,194537,,1159048322,27.83%,,,,,,,,,
Tikrit,,Iraq,Asia,,,,,182464,,692228547,16.62%,,,,,,,,34.6,43.7
Anseong,Gyeonggi,South Korea,Asia,,,,,180900,,1159242859,27.84%,,,,,,,,,
Andong,North Gyeongsang,South Korea,Asia,,,,,168009,,1159423759,27.84%,,,,,,,,,
Seosan,South Chungcheong,South Korea,Asia,,,,,161610,,1159591768,27.85%,,,,,,,,,
Pocheon,Gyeonggi,South Korea,Asia,,,,,157684,,1159753378,27.85%,,,,,,,,,
Seogwipo,Jeju,South Korea,Asia,,,,,153241,,1159911062,27.85%,,,,,,,,,
Dangjin,South Chungcheong,South Korea,Asia,,,,,151013,,1160064303,27.86%,,,,,,,,,
Gwangyang,South Jeolla,South Korea,Asia,,,,,150565,,1160215316,27.86%,,,,,,,,,
Uiwang,Gyeonggi,South Korea,Asia,,,,,150379,,1160365881,27.86%,,,,,,,,,
Hanam,Gyeonggi,South Korea,Asia,,,,,148122,,1160516260,27.87%,,,,,,,,,
Sittwe,Rakhine State,Burma,Asia,,,,,147899,,1160812281,27.88%,,,,,,,,,
Tongyeong,South Gyeongsang,South Korea,Asia,,,,,140140,,1160812281,27.88%,,,,,,,,,
Jecheon,North Chungcheong,South Korea,Asia,,,,,137317,,1160952421,27.88%,,,,,,,,,
Gimcheon,North Gyeongsang,South Korea,Asia,,,,,135421,,1161089738,27.88%,,,,,,,,,
Nonsan,South Chungcheong,South Korea,Asia,,,,,127056,,1161225159,27.89%,,,,,,,,,
Gongju,South Chungcheong,South Korea,Asia,,,,,124359,,1161352215,27.89%,,,,,,,,,
Sejong,none,South Korea,Asia,,,,,122263,,1161476574,27.89%,,,,,,,,,
Jeongeup,North Jeolla,South Korea,Asia,,,,,120114,,1161598837,27.89%,,,,,,,,,
Sacheon,South Gyeongsang,South Korea,Asia,,,,,114654,,1161718951,27.90%,,,,,,,,,
Yeongju,North Gyeongsang,South Korea,Asia,,,,,114446,,1161833605,27.90%,,,,,,,,,
Yeoju,Gyeonggi,South Korea,Asia,,,,,109265,,1161948051,27.90%,,,,,,,,,
Miryang,South Gyeongsang,South Korea,Asia,,,,,109087,,1162057316,27.91%,,,,,,,,,
Boryeong,South Chungcheong,South Korea,Asia,,,,,106106,,1162166403,27.91%,,,,,,,,,
Sangju,North Gyeongsang,South Korea,Asia,,,,,104652,,1162272509,27.91%,,,,,,,,,
Yeongcheon,North Gyeongsang,South Korea,Asia,,,,,103174,,1162377161,27.91%,,,,,,,,,
Dongducheon,Gyeonggi,South Korea,Asia,,,,,96215,,1162480335,27.92%,,,,,,,,,
Donghae,Gangwon,South Korea,Asia,,,,,94617,,1162576550,27.92%,,,,,,,,,
Gimje,North Jeolla,South Korea,Asia,,,,,92911,,1162671167,27.92%,,,,,,,,,
Sokcho,Gangwon,South Korea,Asia,,,,,88723,,1162764078,27.92%,,,,,,,,,
Naju,South Jeolla,South Korea,Asia,,,,,88094,,1162852801,27.92%,,,,,,,,,
Namwon,North Jeolla,South Korea,Asia,,,,,87367,,1162940895,27.93%,,,,,,,,,
Mungyeong,North Gyeongsang,South Korea,Asia,,,,,76045,,1163028262,27.93%,,,,,,,,,
Samcheok,Gangwon,South Korea,Asia,,,,,71825,,1163104307,27.93%,,,,,,,,,
Gwacheon,Gyeonggi,South Korea,Asia,,,,,71799,,1163176132,27.93%,,,,,,,,,
Taebaek,Gangwon,South Korea,Asia,,,,,49837,,1163247931,27.93%,,,,,,,,,
Gyeryong,South Chungcheong,South Korea,Asia,,,,,42427,,1163297768,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
