Name,Province,Country,Continent,Population rank (core city),Population rank (Primary Statistical Area),Distance to closest larger Chinese Metropolitan Area (KM),Power,Population,Population MetroPower,Rolling population total,Rolling % of Population Total,GDP per capita of Province,Distance from a foreign country (KM),Score,"If part of a larger city's transportation, city name",Closest City Name,Closest City Rank,Largest in Province?,Latitude,Longitude
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
,,,,,,,,,,1163340195,27.94%,,,,,,,,,
